channel,source_metric,comparison_filename,comparison_subrun,comparison_status,comparison_role,processed_sequence_offset_from_role_target,file_unique_events,target_channel_rows,target_channel_unique_events,occupancy,n_values,n_nan,n_inf,min,max,mean,std,median,q25,q75
82,sideband_rms,Digitizer_run2014_subrun611.csv,611,WARN,WARN_target_next_2,2,1000,232,232,0.232,232,0,0,4.71288,35.4131,6.169067068965517,2.6343881721023164,5.85764,5.618335,6.203037500000001
82,sideband_rms,Digitizer_run2014_subrun94.csv,94,OK,OK_target,0,993,137,137,0.1379657603222558,137,0,0,1.17503,38.3579,2.188260875912409,3.213441107271025,1.77368,1.52741,2.05529
82,sideband_rms,Digitizer_run2014_subrun88.csv,88,OK,OK_target_previous_2,-2,991,127,127,0.12815338042381433,127,0,0,0.469405,34.2991,2.1575593307086613,3.0642920495816184,1.75949,1.560015,2.02052
82,sideband_rms,Digitizer_run2014_subrun90.csv,90,OK,OK_target_previous_1,-1,994,127,127,0.12776659959758552,127,0,0,1.11046,100.67,3.860858188976378,11.227041484189208,1.80161,1.55593,2.07918
82,sideband_rms,Digitizer_run2014_subrun95.csv,95,OK,OK_target_next_1,1,996,128,128,0.1285140562248996,128,0,0,0.935423,261.748,4.0071119765625,23.04329735909151,1.79092,1.5387775,2.0599775
82,sideband_rms,Digitizer_run2014_subrun96.csv,96,OK,OK_target_next_2,2,988,124,124,0.12550607287449392,124,0,0,1.18481,144.055,2.980322258064516,12.783126057512181,1.75049,1.529475,2.0488
82,pulseHeight_max,Digitizer_run2014_subrun605.csv,605,WARN,WARN_target,0,994,226,226,0.22736418511066397,226,0,0,-1250.69,-15.5183,-134.95636194690263,305.8611352937557,-26.7227,-34.2249,-23.4889
82,pulseHeight_max,Digitizer_run2014_subrun603.csv,603,WARN,WARN_target_previous_2,-2,998,245,245,0.24549098196392785,245,0,0,-1250.42,-15.7386,-137.2256942857143,290.4255652665151,-25.962,-37.355,-23.2241
82,pulseHeight_max,Digitizer_run2014_subrun604.csv,604,WARN,WARN_target_previous_1,-1,998,224,224,0.22444889779559118,224,0,0,-1250.69,-15.8681,-101.57759821428571,241.67556628568005,-26.0824,-33.1353,-22.965925
82,pulseHeight_max,Digitizer_run2014_subrun609.csv,609,WARN,WARN_target_next_1,1,998,241,241,0.24148296593186372,241,0,0,-1250.39,-15.562,-107.46660580912862,250.37321226487646,-26.5712,-36.8537,-23.3747
82,pulseHeight_max,Digitizer_run2014_subrun611.csv,611,WARN,WARN_target_next_2,2,1000,232,232,0.232,232,0,0,-1250.39,-15.7293,-109.78210043103448,244.9931034369997,-26.7185,-38.69555,-23.42825
82,pulseHeight_max,Digitizer_run2014_subrun94.csv,94,OK,OK_target,0,993,137,137,0.1379657603222558,137,0,0,-1250.69,-15.6747,-302.0408540145985,445.38963025772773,-48.532,-405.544,-22.3308
