case,filename,subrun,target_channel,channel,nPulses_mean,nPulses_median,nPulses_std,occupancy,frac_dead,z_nPulses_median,abs_z_nPulses_median,above_z8,above_z15,is_target_channel
B,Digitizer_run2014_subrun902.csv,902,38,86,1.6923076923076923,1.0,0.8375789285425352,0.04276315789473684,0.0,-0.15801497138186668,0.15801497138186668,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,33,1.8823529411764706,1.0,1.3654770701969006,0.05592105263157895,0.0,-0.1421530929587135,0.1421530929587135,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,1,1.45,1.0,0.6863327411532597,0.03289473684210526,0.0,-0.14002038222800792,0.14002038222800792,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,94,1.5,1.0,0.7859052479933758,0.029605263157894735,0.0,-0.1068007811304221,0.1068007811304221,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,11,1.6875,1.0,0.8732124598286489,0.02631578947368421,0.0,-0.10637323491877426,0.10637323491877426,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,2,1.8,1.0,2.4408799103688215,0.03289473684210526,0.0,-0.10524837863907224,0.10524837863907224,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,18,1.5555555555555556,1.0,1.3333333333333333,0.014802631578947368,0.0,-0.1049782201264008,0.1049782201264008,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,79,1.3043478260869565,1.0,0.5587959953568721,0.03782894736842105,0.0,-0.09986819679253868,0.09986819679253868,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,91,1.6,1.0,0.8136762043449725,0.049342105263157895,0.0,-0.09927127930337419,0.09927127930337419,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,20,1.5,1.0,0.816496580927726,0.02631578947368421,0.0,-0.09883915253662964,0.09883915253662964,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,21,1.3529411764705883,1.0,0.492592183071889,0.027960526315789474,0.0,-0.09656867570398656,0.09656867570398656,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,70,1.7407407407407407,1.0,1.0225380411427467,0.044407894736842105,0.0,-0.09021464459636286,0.09021464459636286,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,65,1.6296296296296295,1.0,1.4714761857543481,0.044407894736842105,0.0,-0.08515561937751816,0.08515561937751816,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,40,1.3043478260869565,1.0,0.6349504353380415,0.03782894736842105,0.0,-0.08252805329048929,0.08252805329048929,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,32,1.9,1.0,1.493664782593009,0.049342105263157895,0.0,-0.08178143050230882,0.08178143050230882,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,76,1.8916666666666666,1.0,1.3584211877209882,0.19736842105263158,0.0,-0.07858331759028715,0.07858331759028715,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,45,1.7291666666666667,1.0,1.1803278183899795,0.07894736842105263,0.0,-0.07732262832765856,0.07732262832765856,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,30,1.565217391304348,1.0,0.885743226224131,0.0756578947368421,0.0,-0.07541501215091867,0.07541501215091867,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,36,1.4821428571428572,1.0,0.7625572152261798,0.09210526315789473,0.0,-0.07325443424984496,0.07325443424984496,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,75,1.3888888888888888,1.0,0.6877614942811736,0.05921052631578947,0.0,-0.07063131471912519,0.07063131471912519,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,90,1.5555555555555556,1.0,0.8006407690254357,0.044407894736842105,0.0,-0.0700702032209353,0.0700702032209353,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,26,1.368421052631579,1.0,0.5891382910924179,0.0625,0.0,-0.065184913358378,0.065184913358378,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,10,1.4666666666666666,1.0,0.6399404734221844,0.024671052631578948,0.0,-0.059478868928849134,0.059478868928849134,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,14,1.4827586206896552,1.0,0.9110703930453143,0.047697368421052634,0.0,-0.05925902242036567,0.05925902242036567,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,15,1.6538461538461537,1.0,1.0561177090573832,0.04276315789473684,0.0,-0.055129463821589196,0.055129463821589196,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,66,1.6129032258064515,1.0,0.8823234234995204,0.05098684210526316,0.0,-0.054391975451550646,0.054391975451550646,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,87,1.302325581395349,1.0,0.5578395280830464,0.07072368421052631,0.0,-0.05304897226490778,0.05304897226490778,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,13,1.1176470588235294,1.0,0.3321055820775357,0.027960526315789474,0.0,-0.048644157532686715,0.048644157532686715,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,48,1.625,1.0,0.9407091871744622,0.25,0.0,-0.0477894139785996,0.0477894139785996,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,89,1.2121212121212122,1.0,0.4846116845975599,0.054276315789473686,0.0,-0.045526122416213705,0.045526122416213705,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,12,1.1578947368421053,1.0,0.3746343246326775,0.03125,0.0,-0.04460445902450349,0.04460445902450349,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,29,1.4615384615384615,1.0,0.8222611266038827,0.06414473684210527,0.0,-0.039776722495517426,0.039776722495517426,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,83,1.3333333333333333,1.0,0.6201736729460423,0.044407894736842105,0.0,-0.038949967184669664,0.038949967184669664,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,5,1.434782608695652,1.0,0.7877520927828718,0.03782894736842105,0.0,-0.03859321231770104,0.03859321231770104,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,64,1.4444444444444444,1.0,0.8006407690254355,0.044407894736842105,0.0,-0.038593212317629716,0.038593212317629716,False,False,False
